,Drink,Tags,Category,IBA,Alcoholic type,Glass type,Inuctions,DrinkThumb,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,,,
17044,Homemade Kahlua,,Homemade Liqueur,,Alcoholic,Collins glass,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",https://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Sugar,Corn syrup,Coffee,Vanilla extract,Water,Vodka,3 cubes,30 ml,44.25 ml ,59 ml,90 ml,75 ml,,,
14782,Hot Creamy Bush,,Coffee / Tea,,Alcoholic,Irish coffee cup,Combine all ingredients in glass,https://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,Irish whiskey,Baileys irish cream,Coffee,,,,25 ml,75 ml,177 ml ,,,,,,
11462,Harvey Wallbanger,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Collins glass,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",https://www.thecocktaildb.com/images/media/drink/7os4gs1606854357.jpg,Vodka,Galliano,Orange juice,,,,29.5 ml,14.75 ml,118 ml,,,,,,
11472,Hawaiian Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,Gin,Triple sec,Pineapple juice,,,,59 ml,14.75 ml,15 ml,,,,,,
17201,Hemingway Special,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail glass,Pour all ingredients into a shaker with ice. Shake.,https://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Rum,Grapefruit juice,Maraschino liqueur,Lime juice,,,345 ml,236 ml,88.5 ml,88.5 ml,,,,,
11476,Highland Fling Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,https://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Scotch,Vermouth,Orange bitters,Olive,,,44.25 ml,22.14 ml,1.6 ml,1,,,,,
12738,Hot Chocolate to Die for,,Cocoa,,Non alcoholic,Coffee mug,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",https://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Chocolate,Butter,Vanilla extract,Half-and-half,Marshmallows,,159 ml ,5 ml,2.5 ml,30 ml,3,,,,
17176,Ipamena,,Ordinary Drink,,Non alcoholic,Wine glass,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with Ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",https://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Lime,Brown sugar,Passion fruit juice,Ginger ale,Ice,,1,10 gr,80 ml,240 ml ,3,,,,
13539,Ice Pick,,Ordinary Drink,,Alcoholic,Collins glass,Put Vodka in glass fill with iced tea. Stir in Lemon to taste.,https://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Vodka,Iced tea,Lemon juice,,,,44.25 ml,177 ml,14.75 ml,,,,,,
12820,Irish Cream,,Homemade Liqueur,,Alcoholic,Irish coffee cup,Mix scotch and milk. Add half-and-half. Add rest.,https://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Scotch,Half-and-half,Condensed milk,Coconut syrup,Chocolate syrup,,30 ml,37.5 ml,30 ml,0.15 ml ,15 ml,,,,
13971,Irish Coffee,"IBA,ContemporaryClassic",Coffee / Tea,Contemporary Classics,Alcoholic,Irish coffee cup,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",https://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Irish whiskey,Coffee,Sugar,Whipped cream,,,44.25 ml,236 ml,5 gr,15 ml ,,,,,
11528,Irish Spring,,Ordinary Drink,,Alcoholic,Collins glass,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",https://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Irish whiskey,Peach brandy,Orange juice,Sweet and sour,Orange,Cherry,29.5 ml,14.75 ml,29.5 ml,29.5 ml,1,1,,,
11524,Imperial Fizz,,Ordinary Drink,,Alcoholic,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Light rum,Blended whiskey,Lemon juice,Powdered sugar,Carbonated water,,14.75 ml,44.25 ml,25 ml,5 gr,25 ml,,,,
17015,Irish Russian,,Beer,,Alcoholic,Highball glass,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,https://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Vodka,Kahlua,Coca-Cola,Guinness stout,,,60 ml,60 ml,30 ml,120 ml,,,,,
12706,Imperial Cocktail,,Cocktail,,Alcoholic,Cocktail glass,Shake with ice and strain into cocktail glass.,https://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Lime juice,Gin,Aperol,,,,40 ml,20 ml,40 ml,,,,,,
12772,Iced Coffee Fillip,,Coffee / Tea,,Alcoholic,Coffee mug,Mix together in a coffee mug and chill before serving.,https://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Kahlua,Coffee,,,,,10 ml,60 ml,,,,,,,
16987,Irish Curdling Cow,,Cocktail,,Alcoholic,Highball glass,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",https://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Baileys irish cream,Bourbon,Vodka,Orange juice,,,22.14 ml,22.14 ml,22.14 ml,59 ml,,,,,
17178,Jam Donut,,Shot,,Alcoholic,Shot glass,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",https://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Baileys irish cream,Chambord raspberry liqueur,Sugar Syrup,Sugar,,,88.5 ml,9.83 ml,5 ml,2,,,,,
16178,Jitterbug,,Cocktail,,Alcoholic,Cocktail glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",https://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar Syrup,50 ml,25 ml,2.4 ml,25 ml,1,2.4 ml,,,
13847,Jackhammer,,Ordinary Drink,,Alcoholic,Collins glass,"Serve over ice- Warning,Deadly!",https://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Jack Daniels,Amaretto,,,,,29.5 ml,29.5 ml,,,,,,,
13775,Jelly Bean,,Shot,,Alcoholic,Cordial glass,mix equal parts in pony glass-tastes just like a jelly bean!,https://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Blackberry brandy,Anis,,,,,29.5 ml,4,,,,,,,
14095,Jamaica Kiss,,Shake,,Alcoholic,Hurricane glass,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,https://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Coffee liqueur,Light rum,Ice,Milk,,,25 ml,25 ml,3,10 ml,,,,,
11580,John Collins,IBA,Ordinary Drink,,Alcoholic,Collins glass,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Bitters.,https://www.thecocktaildb.com/images/media/drink/0t4bv71606854479.jpg,Bourbon,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,59 ml,29.5 ml,5 gr,88.5 ml,1,1,,,
11558,Japanese Fizz,,Ordinary Drink,,Alcoholic,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Blended whiskey,Lemon juice,Powdered sugar,Port,Egg white,Carbonated water,44.25 ml,25 ml,5 gr,15 ml,1,25 ml,,,
15825,Jamaican Coffee,,Coffee / Tea,,Alcoholic,Champagne flute,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",https://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Rum,Coffee,Water,Whipped cream,,,30 ml,30 ml,15 ml,30 ml,,,,,
12688,Just a Moonmint,,Shake,,Non alcoholic,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Milk,Chocolate syrup,Mint syrup,,,,60 ml,60 ml,60 ml,,,,,,
11566,Jewel Of The Nile,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Gin,Green Chartreuse,Yellow Chartreuse,,,,44.25 ml,14.75 ml,14.75 ml,,,,,,
11542,Jack Rose Cocktail,Beach,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Apple brandy,Grenadine,Lime juice ,,,,44.25 ml,5 ml,25 ml,,,,,,
16275,Jack's Vanilla Coke,,Other / Unknown,,Alcoholic,Old-fashioned glass,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",https://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Ice,Tennessee whiskey,Vanilla extract,Coca-Cola,,,3,59 ml,5 ml,324.5 ml,,,,,
17203,Kir,"IBA,ContemporaryClassic",Ordinary Drink,,Alcoholic,Wine glass,"Add the crème de cassis to the bottom of the glass, then top up with wine.",https://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,Creme de Cassis,Wine,,,,,29.5 ml,147.5 ml,,,,,,,
12764,Karsk,,Ordinary Drink,,Alcoholic,Highball glass,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",https://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Coffee,Grain alcohol,,,,,29.5 ml,59 ml,,,,,,,
11600,Kamikaze,"IBA,NewEra",Ordinary Drink,New Era Drinks,Alcoholic,Cocktail glass,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg,Vodka,Triple sec,Lime juice,,,,29.5 ml,29.5 ml,25 ml,,,,,,
13837,Kir Royale,,Ordinary Drink,,Alcoholic,Champagne flute,"Pour Creme de cassis in glass, gently pour champagne on top",https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,Creme de Cassis,Champagne,,,,,29.5 ml,147.5 ml,,,,,,,
14752,Kiwi Lemon,,Ordinary Drink,,Alcoholic,Highball glass,Mix in highball glass. Stirr. Garnish with slice of kiwi.,https://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,Kiwi liqueur,Bitter Lemon,Ice,,,,29.5 ml,59 ml,3,,,,,,
14456,Kurant Tea,,Coffee / Tea,,Alcoholic,Champagne flute,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",https://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,Absolut Kurant,Tea,Sugar,,,,40 ml,200 ml,1,,,,,,
16951,Kioki Coffee,,Coffee / Tea,,Alcoholic,Coffee mug,Stir. Add whipped cream to the top.,https://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,Kahlua,Brandy,Coffee,,,,29.5 ml,14.75 ml,29.5 ml,,,,,,
178359,Kiwi Martini,"Green, Sharp",Cocktail,,Alcoholic,Cocktail glass,"The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink.

For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.",https://www.thecocktaildb.com/images/media/drink/bmxmyq1630407098.jpg,Kiwi juice ,Sugar Syrup,Vodka,Kiwi,,,25 ml ,5 ml,44.25 ml,1,,,,,
15026,Kiss me Quick,,Ordinary Drink,,Alcoholic,Highball glass,mix in the glass,https://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,Cranberry vodka,Apfelkorn,Schweppes Russchian,Apple juice,Ice,,40 ml,20 ml,70 ml,80 ml,3,,,,
13190,Kool-Aid Shot,,Shot,,Alcoholic,Old-fashioned glass,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,https://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,Vodka,Amaretto,Sloe Gin,Triple sec,Cranberry juice,,25 ml,25 ml,25 ml,25 ml,60 ml,,,,
17006,Kool First Aid,,Shot,,Alcoholic,Shot glass,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",https://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,151 proof rum,Kool-Aid,,,,,59 ml ,2.5 ml,,,,,,,
11602,Kentucky B And B,,Ordinary Drink,,Alcoholic,Balloon glass,Pour the bourbon and Benedictine into a brandy snifter.,https://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Bourbon,Benedictine,,,,,59 ml,14.75 ml,,,,,,,
11604,Kentucky Colonel,,Ordinary Drink,,Alcoholic,Cocktail glass,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the Lemon twist.,https://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Bourbon,Benedictine,Lemon peel,,,,88.5 ml,14.75 ml,1,,,,,,
14446,Kool-Aid Slammer,,Shot,,Alcoholic,Shot glass,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",https://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Kool-Aid,Vodka,,,,,14.75 ml ,14.75 ml,,,,,,,
12714,Kiwi Papaya Smoothie,,Other / Unknown,,Non alcoholic,Highball glass,Throw everything into a blender and liquify.,https://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Kiwi juice ,Papaya juice,Kiwi,Papaya,,,59 ml,59 ml,1,1,,,,,
12720,Kill the cold Smoothie,,Other / Unknown,,Non alcoholic,Highball glass,Juice Ginger and Lemon and add it to hot water. You may add cardomom.,https://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Ginger,Lemon juice ,Water,,,,1,25 ml,30 ml,,,,,,
12704,Limeade,,Other / Unknown,,Non alcoholic,Highball glass,"In a large glass, put the Lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.",https://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg,Lime juice ,Sugar Syrup,Soda Water,Lime peel,,,45 ml,30 ml,"90 ml
",1,,,,,
14378,Lunch Box,,Beer,,Alcoholic,Pint glass,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,https://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,Beer,Amaretto,Orange juice,,,,266.25 ml,25 ml,29.5 ml,,,,,,
14366,Lemon Drop,"IBA,NewEra",Cocktail,,Alcoholic,Cocktail glass,Shake and strain into a chilled cocktail glass rimmed with sugar.,https://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg,Vodka,Cointreau,Lemon juice ,,,,37.5 ml,37.5 ml,29.5 ml,,,,,,
12752,Lemon Shot,,Shot,,Alcoholic,Shot glass,"Mix Galliano and Absolut Citron in a shot glass, lay Lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on Lemon. If it is done correctly, this will taste like a shot of sweet Lemonade.",https://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg,Galliano,Absolut Citron,Lemon,Sugar,151 proof rum,,14.75 ml,14.75 ml,1 cube,29.5 ml ,1.25 ml,,,,
13196,Long vodka,,Ordinary Drink,,Alcoholic,Highball glass,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",https://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,Vodka,Lime,Bitters,Tonic Water,Ice,,50 ml,1,3.2 ml,100 ml ,4,,,,
12694,Lassi Raita,,Other / Unknown,,Non alcoholic,Highball glass,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The Lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.",https://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,Yoghurt,Ice,Sugar,Lime juice ,Salt,,60 ml,3 cubes,1,30 ml,2,,,,
12702,Lemouroudji,,Other / Unknown,,Non alcoholic,Highball glass,"Juice the Lemons. Peel and grate the Ginger. Place the grated Ginger and a liberal dash of the pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the Lemon juice. Chill, and serve.",https://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg,Ginger,Water,Lemon juice ,Sugar,Pepper,,2 units,375 ml,47.3 ml,20 gr,0.8 gr,,,,
11658,Loch Lomond,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the Lemon twist.",https://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,Scotch,Drambuie,Vermouth,Lemon peel,,,59 ml,14.75 ml,14.75 ml,1,,,,,
11662,London Town,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,Gin,Maraschino liqueur,Orange bitters,,,,44.25 ml,14.75 ml,1.6 ml,,,,,,
12698,Lassi - Mango,,Other / Unknown,,Non alcoholic,Highball glass,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,https://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,Mango juice,Yoghurt,Sugar,Water,,,237 ml,60 ml ,15 gr,30 ml,,,,,
15086,Limona Corona,,Beer,,Alcoholic,Pilsner glass,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.",https://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg,Corona,Bacardi Limon,,,,,335 ml,29.5 ml,,,,,,,
11670,Lord And Lady,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg,Dark rum,Tia maria,,,,,44.25 ml,14.75 ml,,,,,,,
11002,Long Island Tea,"Strong,Asia,StrongFlavor,Brunch,Vegetarian,Sour",Ordinary Drink,,Alcoholic,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of Lemon and serve.,https://www.thecocktaildb.com/images/media/drink/nkwr4c1606770558.jpg,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,14.75 ml,14.75 ml,14.75 ml,14.75 ml,14.75 ml ,14.75 ml ,,,
11666,Lone Tree Cooler,,Ordinary Drink,,Alcoholic,Collins glass,"Stir powdered sugar and 59 ml. carbonated water in a collins glass. Fill glass with ice, add Gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of Lemon peel and the orange spiral so that the end dangles over rim of glass.",https://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,Carbonated water,Gin,Vermouth,Powdered sugar,Orange spiral,Lemon peel,25 ml,44.25 ml,14.75 ml,2.5 gr,1,1,,,
11664,Lone Tree Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg,Vermouth,Gin,,,,,22.13 ml,44.25 ml,,,,,,,
178335,Lazy Coconut Paloma,"Lazy, Sharp",Cocktail,,Alcoholic,Highball glass,Mix the coconut liqueur (preferably tequila) with the Grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,https://www.thecocktaildb.com/images/media/drink/rytuex1598719770.jpg,Coconut Liqueur,Grapefruit juice,Soda Water,,,,30 ml,75 ml,20 ml ,,,,,,
17204,Long Island Iced Tea,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with Lemon or lime twist.,https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,14.75 ml,14.75 ml,14.75 ml,14.75 ml,0.8 ml,1,,,
178360,Lemon Elderflower Spritzer,"Summer, Fresh, Refreshing",Cocktail,,Alcoholic,Highball glass,"Pour all ingredients over ice, stir and enjoy!
",https://www.thecocktaildb.com/images/media/drink/125w0o1630407389.jpg,Elderflower cordial,Vodka,Soda Water,Lemon juice,,,10 ml,25 ml,10 ml,20 ml,,,,,
11000,Mojito,"IBA,ContemporaryClassic,Alcoholic,USA,Asia,Vegan,Citrus,Brunch,Hangover,Mild",Cocktail,Contemporary Classics,Alcoholic,Highball glass,Muddle mint leaves with sugar and Lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg,Light rum,Lime juice ,Sugar,Mint,Soda Water,,88.5 ml,25 ml,2,1,186.5 ml ,,,,
17205,Mimosa,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Champagne flute,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",https://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,Champagne,Orange juice,,,,,120 ml,59 ml,,,,,,,
11690,Mai Tai,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Light rum,Orgeat Syrup,Triple sec,Sweet and sour,Cherry,,29.5 ml,14.75 ml,14.75 ml,44.25 ml,1,,,,
11728,Martini,,Cocktail,Unforgettables,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from Lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,Gin,Vermouth,Olive,,,,50 ml,30 ml,1,,,,,,
178343,Michelada,"Hangover,StrongFlavor,Breakfast",Cocktail,,Alcoholic,Pint glass,"Mix the beer with tomato juice, freshly squeezed Lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
",https://www.thecocktaildb.com/images/media/drink/u736bd1605907086.jpg,Beer,Tomato Juice,Lime juice,Hot Sauce,Worcestershire Sauce,Soy Sauce,118 ml,118 ml,15 ml,0.8 ml,0.8 ml,0.8 ml,,,
11008,Manhattan,"IBA,Classic,Alcoholic",Cocktail,Unforgettables,Alcoholic,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.",https://www.thecocktaildb.com/images/media/drink/yk70e31606771240.jpg,Vermouth,Bourbon,Bitters,Ice,Maraschino cherry,Orange peel,22.14 ml,73.75 ml ,0.8 ml ,3,1,1,,,
11007,Margarita,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg,Tequila,Triple sec,Lime juice,Salt,,,44.25 ml,14.75 ml,29.5 ml,1,,,,,
178370,Mauresque,,Cocktail,,Alcoholic,Collins glass,"1 - Pour the Ricard (or pastis)
2 - Pour the orgeat syrup
3 - Finally pour the water and add ice cubes at your convenience.

Add the ice cubes at the end, otherwise the syrup and pastis do not mix well.",https://www.thecocktaildb.com/images/media/drink/duwfa11686236556.jpg,Ricard,Orgeat Syrup,Water,,,,30 ml,10 ml,120 ml,,,,,,
17206,Mint Julep,"IBA,ContemporaryClassic",Ordinary Drink,,Alcoholic,Collins glass,"In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",https://www.thecocktaildb.com/images/media/drink/squyyq1439907312.jpg,Mint,Bourbon,Powdered sugar,Water,,,4,73.75 ml,5 gr,10 ml,,,,,
17256,Martinez 2,,Cocktail,,Alcoholic,Cocktail glass,"Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass.",https://www.thecocktaildb.com/images/media/drink/fs6kiq1513708455.jpg,Gin,Vermouth,Maraschino liqueur,Bitters,,,44.25 ml,44.25 ml,5 ml,1.6 ml,,,,,
16196,Moranguito,,Shot,,Alcoholic,Shot glass,"first you put rhe absinthe, then put tequila, then put the Granadine syrup.",https://www.thecocktaildb.com/images/media/drink/urpsyq1475667335.jpg,Absinthe,Tequila,Grenadine,,,,59 ml,59 ml,29.5 ml ,,,,,,
11009,Moscow Mule,"IBA,ContemporaryClassic",Punch / Party Drink,Contemporary Classics,Alcoholic,Copper Mug,Combine vodka and Ginger beer in a highball glass filled with ice. Add Lime juice. Stir gently. Garnish.,https://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg,Vodka,Lime juice,Ginger ale,,,,59 ml,59 ml,236 ml,,,,,,
12988,Mulled Wine,Christmas,Punch / Party Drink,,Alcoholic,Collins glass,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and Lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",https://www.thecocktaildb.com/images/media/drink/iuwi6h1504735724.jpg,Water,Sugar,Cloves,Cinnamon,Lemon peel,Red wine,90 ml,30 gr,12,2,1,750 ml,,,
12774,Masala Chai,,Coffee / Tea,,Non alcoholic,Coffee mug,Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.,https://www.thecocktaildb.com/images/media/drink/uyrpww1441246384.jpg,Water,Tea,Ginger,Cardamom,Cloves,Cinnamon,60 ml,15 ml,1,3,3,1,,,
